id,name,slug,description,main_image,coverage_rate,drying_time,coats_required,is_active,created_at,updated_at,category_id,finish_id,subcategory_id
24,Super Gloss Premium,super-gloss-premium,"A high-quality premium gloss finish suitable for both interior and exterior use. Provides a durable, shiny protective coat.",products/main/Super_Gloss_JBD87id.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.496771,2026-01-07 12:00:03.273019,12,6,1
25,Gloss Gold Metallica,gloss-gold-metallica,A decorative gold metallic finish that adds a luxurious shine to surfaces.,products/main/High_Gloss.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.636479,2026-01-07 11:59:46.479537,12,6,1
26,Vinyl Matt Super Premium,vinyl-matt-super-premium,A premium quality water-based matte emulsion for interior walls. Hides imperfections.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.709953,2026-01-07 10:48:51.709991,12,7,2
27,Silk Vinyl,silk-vinyl,"A washable, mid-sheen silk finish for interior walls. Reflects light to make rooms appear brighter.",products/main/Silk_Vinyl_fjuu0KA.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.796654,2026-01-07 11:58:57.158985,12,8,2
28,Plastic Emulsion Economy,plastic-emulsion-economy,A cost-effective emulsion for basic painting needs.,products/main/Plastic_Emulsion_4QCNzq2.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.876998,2026-01-07 11:58:38.841078,12,7,2
29,Cover Coat Trade Emulsion,cover-coat-trade-emulsion,An economical emulsion paint suitable for ceilings and low-traffic areas.,products/main/Cover_Coat_afnfMXm.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:51.930235,2026-01-07 11:57:56.231279,12,7,2
30,Weather Guard,weather-guard,"The ultimate exterior protection. Resists fading, peeling and extreme weather.",products/main/Weather_Coat_iryQefL.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.091998,2026-01-07 11:58:14.320438,12,7,3
31,Roof Master,roof-master,Specialized high-durability paint for roofs. UV resistant.,products/main/Roof_Paints_6tzpEDY.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.187746,2026-01-07 11:57:13.043186,12,10,3
32,Universal Undercoat,universal-undercoat,The perfect base for gloss and enamel paints. Available in White and Black.,products/main/Undercoat.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.282930,2026-01-07 11:56:52.036891,13,7,4
33,Metal Grey Primer,metal-grey-primer,An anti-corrosive primer designed specifically for metal surfaces.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.337115,2026-01-07 10:48:52.337156,13,7,4
34,Transeal,transeal,A penetrating sealer for masonry surfaces.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.376350,2026-01-07 10:48:52.376393,13,10,4
35,White Spirit,white-spirit,High-quality solvent for thinning oil-based paints and cleaning.,products/main/White_Spirit_Orrq9IT.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.476995,2026-01-07 11:56:17.789508,13,,5
36,Internal Filler,internal-filler,Easy-to-sand filler for repairing cracks and holes in interior walls.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.564386,2026-01-07 10:48:52.564474,13,7,5
37,External Filler,external-filler,Weather-resistant filler for exterior repairs.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.652201,2026-01-07 11:56:03.076791,13,7,5
38,Floor Paint,floor-paint,Hard-wearing paint designed for concrete floors. Resistant to abrasion.,products/main/Floor_Paint_lWRNUWD.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.790477,2026-01-07 11:53:52.360044,14,10,6
39,Wood Seal Clear Varnish Matt,wood-seal-clear-varnish-matt,A clear protective varnish with a flat matt finish.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.887604,2026-01-07 10:48:52.887644,14,7,7
40,Wood Seal Clear Varnish,wood-seal-clear-varnish,A clear protective varnish that enhances the natural grain of wood.,products/main/Clear_Varnish_JVthq1w.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.933092,2026-01-07 11:53:28.542368,14,10,7
41,Polyurethane Clear Varnish,polyurethane-clear-varnish,"Tough, durable varnish for high-traffic wood surfaces.",products/main/Clear_Varnish_gFawAkW.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:52.983580,2026-01-07 11:53:12.286525,14,6,7
42,Wall Rock,wall-rock,Heavy-duty textured coating for exterior walls.,products/main/Wall_Rock.png,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:53.036571,2026-01-07 11:52:39.526181,14,9,8
43,Stucco,stucco,Decorative textured finish that can be styled in various patterns.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:53.090080,2026-01-07 11:55:06.176625,14,9,8
44,Smotex,smotex,Versatile textured finish available in various grades.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:53.143388,2026-01-07 11:54:55.643407,14,9,8
45,Byramix,byramix,Decorative mineral finish offering a stone-like appearance.,,10,Touch dry in 1-2 hours,2,1,2026-01-07 10:48:53.204575,2026-01-07 11:54:46.136478,14,9,8
